Id,Rate Category Id,Rate Category,Distance,Rate
981,2,Rates for White LPG,1,0.037893
982,2,Rates for White LPG,2,0.037893
983,2,Rates for White LPG,3,0.037893
984,2,Rates for White LPG,4,0.037893
985,2,Rates for White LPG,5,0.037893
986,2,Rates for White LPG,6,0.037893
987,2,Rates for White LPG,7,0.037893
988,2,Rates for White LPG,8,0.037893
989,2,Rates for White LPG,9,0.037893
990,2,Rates for White LPG,10,0.037893
991,2,Rates for White LPG,11,0.037893
992,2,Rates for White LPG,12,0.037893
993,2,Rates for White LPG,13,0.037893
994,2,Rates for White LPG,14,0.037893
995,2,Rates for White LPG,15,0.037893
996,2,Rates for White LPG,16,0.037893
997,2,Rates for White LPG,17,0.037893
998,2,Rates for White LPG,18,0.037893
999,2,Rates for White LPG,19,0.037893
1000,2,Rates for White LPG,20,0.037893
1001,2,Rates for White LPG,21,0.037893
1002,2,Rates for White LPG,22,0.037893
1003,2,Rates for White LPG,23,0.037893
1004,2,Rates for White LPG,24,0.037893
1005,2,Rates for White LPG,25,0.037893
1006,2,Rates for White LPG,26,0.037893
1007,2,Rates for White LPG,27,0.037893
1008,2,Rates for White LPG,28,0.037893
1009,2,Rates for White LPG,29,0.037893
1010,2,Rates for White LPG,30,0.037893
1011,2,Rates for White LPG,31,0.037893
1012,2,Rates for White LPG,32,0.037893
1013,2,Rates for White LPG,33,0.037893
1014,2,Rates for White LPG,34,0.037893
1015,2,Rates for White LPG,35,0.037893
1016,2,Rates for White LPG,36,0.037893
1017,2,Rates for White LPG,37,0.037893
1018,2,Rates for White LPG,38,0.037893
1019,2,Rates for White LPG,39,0.037893
1020,2,Rates for White LPG,40,0.037893
1021,2,Rates for White LPG,41,0.037893
1022,2,Rates for White LPG,42,0.037893
1023,2,Rates for White LPG,43,0.037893
1024,2,Rates for White LPG,44,0.037893
1025,2,Rates for White LPG,45,0.037893
1026,2,Rates for White LPG,46,0.037893
1027,2,Rates for White LPG,47,0.037893
1028,2,Rates for White LPG,48,0.037893
1029,2,Rates for White LPG,49,0.037893
1030,2,Rates for White LPG,50,0.037893
1031,2,Rates for White LPG,51,0.037893
1032,2,Rates for White LPG,52,0.037893
1033,2,Rates for White LPG,53,0.037893
1034,2,Rates for White LPG,54,0.037893
1035,2,Rates for White LPG,55,0.037893
1036,2,Rates for White LPG,56,0.037893
1037,2,Rates for White LPG,57,0.037893
1038,2,Rates for White LPG,58,0.037893
1039,2,Rates for White LPG,59,0.037893
1040,2,Rates for White LPG,60,0.037893
1041,2,Rates for White LPG,61,0.037893
